milliseconds,paper,gear,position
11591,1,1,233716
11601,1,1,233957
11611,1,1,234175
11621,1,1,234415
11631,1,1,234657
11641,1,1,234898
11651,1,1,235117
11661,1,1,235359
11671,1,1,235599
11681,1,1,235841
11691,1,1,236060
11701,1,1,236302
11711,1,1,236543
11721,1,1,236786
11731,1,1,237028
11741,1,1,237245
11751,1,1,237485
11761,1,1,237726
11771,1,1,237968
11781,1,1,238185
11791,1,1,238426
11801,1,1,238667
11811,1,1,238910
11821,1,1,239127
11831,1,1,239369
11841,1,1,239609
11851,1,1,239852
11862,1,1,240094
11871,1,1,240312
11881,1,1,240553
11891,1,1,240796
11901,1,1,241037
11911,1,1,241255
11921,1,1,241496
11931,1,1,241738
11941,1,1,241978
11951,1,1,242195
11961,1,1,242436
11971,1,1,242678
11981,1,1,242919
11991,1,1,243137
12001,1,1,243378
12011,1,1,243621
12021,1,1,243862
12032,1,1,244104
12041,1,1,244320
12051,1,1,244564
12061,1,1,244805
12071,1,1,245046
12081,1,1,245264
12091,1,1,245507
12101,1,1,245747
12111,1,1,245989
12121,1,1,246205
12131,1,1,246447
12141,1,1,246689
12151,1,1,246930
12161,1,1,247147
12171,1,1,247389
12181,1,1,247632
12191,1,1,247873
12201,1,1,248113
12211,1,1,248330
12221,1,1,248574
12231,1,1,248815
12241,1,1,249057
12251,1,1,249275
12261,1,1,249510
12271,1,1,249675
12281,1,1,249746
12291,1,1,249774
12301,1,1,249785
12311,1,1,249787
12321,1,1,249794
12331,1,1,249793
12341,1,1,249691
12351,1,1,249514
12361,1,1,249294
12371,1,1,249059
12381,1,1,248845
12391,1,1,248603
12401,1,1,248362
12411,1,1,248120
12421,1,1,247903
12431,1,1,247662
12441,1,1,247421
12451,1,1,247178
12461,1,1,246962
12471,1,1,246721
12481,1,1,246479
12491,1,1,246237
12502,1,1,245995
12511,1,1,245779
12521,1,1,245535
12531,1,1,245293
12541,1,1,245052
12551,1,1,244835
12561,1,1,244594
12571,1,1,244352
12581,1,1,244110
12591,1,1,243895
12601,1,1,243653
12611,1,1,243410
12621,1,1,243168
12631,1,1,242952
12641,1,1,242710
12651,1,1,242467
12661,1,1,242225
12672,1,1,241985
12681,1,1,241767
12691,1,1,241525
12701,1,1,241282
12711,1,1,241041
12721,1,1,240825
12731,1,1,240583
12741,1,1,240341
12751,1,1,240100
12761,1,1,239883
12771,1,1,239642
12781,1,1,239399
12791,1,1,239159
12801,1,1,238941
12811,1,1,238700
12821,1,1,238456
12831,1,1,238215
12841,1,1,237973
12851,1,1,237757
12861,1,1,237514
12871,1,1,237273
12881,1,1,237032
12891,1,1,236814
12901,1,1,236572
12911,1,1,236330
12921,1,1,236089
12931,1,1,235871
12941,1,1,235629
12951,1,1,235388
12961,1,1,235148
12971,1,1,234931
12981,1,1,234688
12991,1,1,234447
13001,1,1,234206
13011,1,1,233964
13021,1,1,233747
13031,1,1,233504
13041,1,1,233263
13051,1,1,233022
13061,1,1,232804
13071,1,1,232562
13081,1,1,232322
13091,1,1,232081
13101,1,1,231862
13111,1,1,231620
13121,1,1,231379
13131,1,1,231137
13142,1,1,230895
13151,1,1,230678
13161,1,1,230437
13171,1,1,230195
13181,1,1,229953
13191,1,1,229736
13201,1,1,229495
13211,1,1,229254
13221,1,1,229012
13231,1,1,228793
13241,1,1,228552
13251,1,1,228311
13261,1,1,228069
13271,1,1,227851
13281,1,1,227611
13291,1,1,227369
13301,1,1,227127
13312,1,1,226884
13321,1,1,226668
13331,1,1,226427
13341,1,1,226185
13351,1,1,225942
13361,1,1,225726
13371,1,1,225485
13381,1,1,225244
13391,1,1,225004
13401,1,1,224834
13411,1,1,224737
13421,1,1,224700
13431,1,1,224686
13441,1,1,224680
13451,1,1,224674
13461,1,1,224675
13471,1,1,224790
13481,1,1,224962
13491,1,1,225158
13501,1,1,225392
13511,1,1,225630
13521,1,1,225871
13531,1,1,226087
13541,1,1,226292
13551,1,1,226402
13561,1,1,226443
13571,1,1,226462
