timestamp,position,count,us_per_position
13536528,4091,1,66
13537652,4108,1,69
13538760,4124,1,69
13539864,4140,1,70
13540984,4156,1,70
13542104,4172,1,69
13543216,4188,1,70
13544336,4204,1,70
13545456,4220,1,69
13546572,4236,1,65
13547684,4253,1,74
13548796,4268,1,69
13549908,4284,1,69
13551020,4300,1,69
13552132,4316,1,69
13553244,4332,1,65
13554364,4349,1,73
13555468,4364,1,70
13556588,4380,1,69
13557700,4396,1,66
13558828,4413,1,70
13559952,4429,1,69
13561064,4445,1,69
13562176,4461,1,69
13563288,4477,1,73
13564392,4492,1,65
13565512,4509,1,69
13566624,4525,1,73
13567728,4540,1,70
13568848,4556,1,69
13569960,4572,1,66
13571088,4589,1,70
13572208,4605,1,70
13573332,4621,1,65
13574452,4638,1,68
13575552,4654,1,74
13576664,4669,1,69
13577776,4685,1,69
13578888,4701,1,65
13580008,4718,1,69
13581120,4734,1,69
13582232,4750,1,70
13583352,4766,1,69
13584468,4782,1,69
13585584,4798,1,65
13586704,4815,1,69
13587820,4831,1,68
13588920,4847,1,74
13590032,4862,1,69
13591144,4878,1,65
13592264,4895,1,69
13593368,4911,1,70
13594488,4927,1,70
13595612,4943,1,69
13596728,4959,1,69
13597840,4975,1,69
13598956,4991,1,69
13600068,5007,1,69
13601180,5023,1,73
13602280,5038,1,65
13603400,5055,1,69
13604512,5071,1,69
13605624,5087,1,74
13606744,5102,1,65
13607864,5119,1,69
13608980,5135,1,69
13610092,5151,1,70
13611212,5167,1,69
13612324,5183,1,69
13613432,5199,1,69
13614544,5215,1,69
13615656,5231,1,69
13616768,5247,1,74
13617880,5262,1,69
13618992,5278,1,65
13620112,5295,1,69
13621224,5311,1,74
13622340,5326,1,69
13623452,5342,1,69
13624564,5358,1,65
13625684,5375,1,69
13626796,5391,1,69
13627904,5407,1,69
13629016,5423,1,69
13630128,5439,1,69
13631240,5455,1,70
13632360,5471,1,69
13633472,5487,1,69
13634588,5503,1,73
13635692,5518,1,65
13636812,5535,1,69
13637924,5551,1,69
13639036,5567,1,69
13640148,5583,1,65
13641268,5600,1,69
13642380,5616,1,74
13643492,5631,1,69
13644604,5647,1,69
13645716,5663,1,65
13646836,5680,1,69
13647952,5696,1,69
13649064,5712,1,70
13650188,5728,1,69
13651300,5744,1,69
13652412,5760,1,65
13653532,5777,1,69
13654644,5793,1,74
13655756,5808,1,69
13656868,5824,1,69
13657980,5840,1,65
13659100,5857,1,73
13660208,5872,1,70
13661332,5888,1,69
13662440,5904,1,69
13663552,5920,1,69
13664664,5936,1,69
13665780,5952,1,69
13666892,5968,1,70
13668012,5984,1,69
13669124,6000,1,69
13670236,6016,1,69
13671348,6032,1,70
13672476,6048,1,69
13673588,6064,1,70
13674712,6080,1,65
13675824,6097,1,74
13676936,6112,1,69
13678048,6128,1,66
13679172,6145,1,69
13680284,6161,1,70
13681408,6177,1,69
13682520,6193,1,70
13683640,6209,1,70
13684768,6225,1,66
13685900,6242,1,69
13687012,6258,1,66
13688136,6275,1,74
13689248,6290,1,73
13690352,6305,1,65
13691472,6322,1,69
13692584,6338,1,73
13693688,6353,1,70
13694812,6369,1,69
13695924,6385,1,70
13697052,6401,1,70
13698176,6417,1,65
13699296,6434,1,69
13700408,6450,1,69
13701520,6466,1,69
13702632,6482,1,65
13703752,6499,1,69
13704860,6515,1,69
13705972,6531,1,69
13707084,6547,1,69
13708196,6563,1,69
13709308,6579,1,73
13710416,6594,1,70
13711540,6610,1,65
13712660,6627,1,65
13713772,6644,1,70
13714896,6660,1,69
13716008,6676,1,69
13717120,6692,1,69
13718232,6708,1,69
13719344,6724,1,69
13720456,6740,1,69
13721568,6756,1,69
13722676,6772,1,74
13723792,6787,1,69
13724904,6803,1,66
13726028,6820,1,74
13727140,6835,1,69
13728248,6851,1,69
13729360,6867,1,70
13730484,6883,1,66
13731612,6900,1,69
13732724,6916,1,69
13733836,6932,1,70
13734964,6948,1,70
13736088,6964,1,69
13737200,6980,1,69
13738312,6996,1,69
13739424,7012,1,69
13740536,7028,1,66
13741660,7045,1,69
13742772,7061,1,73
13743876,7076,1,69
13744988,7092,1,69
13746100,7108,1,66
13747228,7125,1,69
13748340,7141,1,69
13749452,7157,1,73
13750552,7172,1,69
13751668,7188,1,69
13752784,7204,1,65
13753904,7221,1,69
13755016,7237,1,73
13756120,7252,1,69
13757232,7268,1,66
13758356,7285,1,70
13759480,7301,1,70
13760608,7317,1,69
13761724,7333,1,70
13762848,7349,1,69
13763960,7365,1,69
13765068,7381,1,69
13766180,7397,1,69
13767292,7413,1,69
13768404,7429,1,69
13769516,7445,1,70
13770636,7461,1,65
13771756,7478,1,69
13772872,7494,1,69
13773988,7510,1,69
13775100,7526,1,69
13776212,7542,1,73
13777312,7557,1,69
13778424,7573,1,66
13779548,7590,1,69
13780656,7606,1,69
13781768,7622,1,70
