timestamp,position,count,us_enc,enc/us
8475084,1834,1,66,0.015151515
8476148,1850,1,68,0.014705882
8477180,1865,1,69,0.014492754
8478224,1880,1,69,0.014492754
8479268,1895,1,67,0.014925373
8480340,1911,1,69,0.014492754
8481376,1926,1,69,0.014492754
8482420,1941,1,65,0.015384615
8483472,1957,1,71,0.014084507
8484540,1972,1,69,0.014492754
8485584,1987,1,67,0.014925373
8486656,2003,1,69,0.014492754
8487700,2018,1,70,0.014285714
8488752,2033,1,70,0.014285714
8489804,2048,1,69,0.014492754
8490852,2063,1,67,0.014925373
8491924,2079,1,69,0.014492754
8492968,2094,1,70,0.014285714
8494020,2109,1,70,0.014285714
8495072,2124,1,70,0.014285714
8496124,2139,1,67,0.014925373
8497200,2155,1,70,0.014285714
8498252,2170,1,70,0.014285714
8499304,2185,1,70,0.014285714
8500356,2200,1,69,0.014492754
8501392,2215,1,70,0.014285714
8502452,2230,1,70,0.014285714
8503504,2245,1,65,0.015384615
8504556,2261,1,74,0.013513514
8505592,2275,1,70,0.014285714
8506652,2290,1,74,0.013513514
8507696,2304,1,66,0.015151515
8508752,2320,1,69,0.014492754
8509788,2335,1,69,0.014492754
8510832,2350,1,65,0.015384615
8511876,2366,1,70,0.014285714
8512936,2381,1,70,0.014285714
8513992,2396,1,69,0.014492754
8515028,2411,1,70,0.014285714
8516088,2426,1,69,0.014492754
8517124,2441,1,69,0.014492754
8518168,2456,1,69,0.014492754
8519212,2471,1,69,0.014492754
8520256,2486,1,69,0.014492754
8521300,2501,1,70,0.014285714
8522364,2516,1,69,0.014492754
8523404,2531,1,70,0.014285714
8524456,2546,1,67,0.014925373
8525528,2562,1,69,0.014492754
8526572,2577,1,70,0.014285714
8527624,2592,1,74,0.013513514
8528664,2606,1,66,0.015151515
8529732,2622,1,69,0.014492754
8530776,2637,1,70,0.014285714
8531828,2652,1,70,0.014285714
8532880,2667,1,70,0.014285714
8533932,2682,1,70,0.014285714
8534984,2697,1,66,0.015151515
8536040,2713,1,76,0.013157895
8537104,2727,1,66,0.015151515
8538168,2743,1,69,0.014492754
8539204,2758,1,70,0.014285714
8540264,2773,1,73,0.01369863
8541292,2787,1,66,0.015151515
8542352,2803,1,69,0.014492754
8543388,2818,1,69,0.014492754
8544432,2833,1,69,0.014492754
8545472,2848,1,69,0.014492754
8546520,2863,1,66,0.015151515
8547580,2879,1,70,0.014285714
8548632,2894,1,70,0.014285714
8549684,2909,1,69,0.014492754
8550720,2924,1,66,0.015151515
8551780,2940,1,70,0.014285714
8552836,2955,1,68,0.014705882
8553868,2970,1,66,0.015151515
8554928,2986,1,69,0.014492754
8555972,3001,1,73,0.01369863
8557000,3015,1,69,0.014492754
8558044,3030,1,65,0.015384615
8559096,3046,1,69,0.014492754
8560140,3061,1,70,0.014285714
8561204,3076,1,73,0.01369863
8562232,3090,1,69,0.014492754
8563276,3105,1,66,0.015151515
8564336,3121,1,68,0.014705882
8565364,3136,1,74,0.013513514
8566412,3150,1,67,0.014925373
8567484,3166,1,69,0.014492754
8568528,3181,1,70,0.014285714
8569580,3196,1,70,0.014285714
8570636,3211,1,70,0.014285714
8571688,3226,1,70,0.014285714
8572744,3241,1,70,0.014285714
8573796,3256,1,74,0.013513514
8574840,3270,1,66,0.015151515
8575900,3286,1,67,0.014925373
8576972,3302,1,69,0.014492754
8578016,3317,1,67,0.014925373
8579096,3333,1,66,0.015151515
8580156,3349,1,73,0.01369863
8581184,3363,1,69,0.014492754
8582228,3378,1,69,0.014492754
8583272,3393,1,69,0.014492754
8584312,3408,1,69,0.014492754
8585356,3423,1,69,0.014492754
8586404,3438,1,66,0.015151515
8587464,3454,1,69,0.014492754
8588508,3469,1,73,0.01369863
8589536,3483,1,69,0.014492754
8590580,3498,1,65,0.015384615
8591624,3514,1,70,0.014285714
8592680,3529,1,66,0.015151515
8593740,3545,1,73,0.01369863
8594768,3559,1,68,0.014705882
8595800,3574,1,70,0.014285714
8596860,3589,1,69,0.014492754
8597900,3604,1,69,0.014492754
8598944,3619,1,70,0.014285714
8600004,3634,1,69,0.014492754
8601040,3649,1,70,0.014285714
8602104,3664,1,70,0.014285714
8603156,3679,1,70,0.014285714
8604212,3694,1,69,0.014492754
8605248,3709,1,70,0.014285714
8606308,3724,1,74,0.013513514
8607344,3738,1,65,0.015384615
8608396,3754,1,71,0.014084507
8609468,3769,1,66,0.015151515
8610532,3785,1,69,0.014492754
8611576,3800,1,70,0.014285714
8612628,3815,1,67,0.014925373
8613700,3831,1,65,0.015384615
8614744,3847,1,71,0.014084507
8615816,3862,1,70,0.014285714
8616872,3877,1,66,0.015151515
8617936,3893,1,69,0.014492754
8618980,3908,1,70,0.014285714
8620044,3923,1,66,0.015151515
8621108,3939,1,70,0.014285714
8622160,3954,1,73,0.01369863
8623184,3968,1,70,0.014285714
